date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.221.delayed	(from https://www.mytrailmaps.net/Hollerwood/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.222.delayed	(from https://www.mytrailmaps.net/Leatherwood-Off-Road-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/maps	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/maps.223.delayed	(from https://www.mytrailmaps.net/Leatherwood-Off-Road-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.224.delayed	(from https://www.mytrailmaps.net/Leatherwood-Off-Road-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.225.delayed	(from https://www.mytrailmaps.net/Patawomack-Adventure-Park/)
23:00:16	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.226.delayed	(from https://www.mytrailmaps.net/Patawomack-Adventure-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.227.delayed	(from https://www.mytrailmaps.net/Redbird-Crest-Trail-System/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/contact	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/contact.228.delayed	(from https://www.mytrailmaps.net/Redbird-Crest-Trail-System/)
23:00:17	0/-1	---M--	301	error ('')			https://www.e-junkie.com/apple-touch-iconpng	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.e-junkie.com/apple-touch-iconpng.229.delayed	(from https://www.mytrailmaps.net/Rocky-Ridge-Off-Road-Park/)
23:00:17	0/-1	---M--	301	error ('')			https://www.mytrailmaps.net/maps	C:/Users/James/Desktop/My%20Trail%20Maps/HT%20Track/My%20Trail%20Maps/www.mytrailmaps.net/maps.22a.delayed	(from https://www.mytrailmaps.net/Rocky-Ridge-Off-Road-Park/)
